,Response_No,Tab_No,Survey_Date,AC_Name,Mandal_Name,Village_Name
0,202,35,2015-05-24,Tiruvuru,Vissannapeta,Maremanda
1,203,400,2015-09-07,,,
2,206,498,2015-10-06,,,
3,206,487,2015-06-13,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
4,207,455,2015-05-31,Tiruvuru,Gampalagudem,KOTHAPALLI
5,207,487,2015-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
6,208,358,2015-05-20,Mylavaram,Mylavaram,Pondugala
7,209,60,2015-05-30,Mylavaram,Ibrahimpatnam,Thummalapalem
8,210,369,2015-05-28,Mylavaram,Reddygudem,Moddulaparva
9,212,283,2015-11-06,,,
10,212,316,2015-07-16,Nandigama,Veerullapadu,Alluru
11,215,190,2015-06-06,Mylavaram,G. Konduru,Kuntamukkala
12,217,158,2015-05-26,Nandigama,Veerullapadu,Thati Gummi
13,219,481,2015-06-14,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
14,221,143,2015-06-23,Nandigama,Chanderlapadu,Eturu
15,221,456,2015-08-06,,,
16,223,380,2015-06-23,Mylavaram,Mylavaram,Chandragudem
17,224,333,2015-06-25,Tiruvuru,Tiruvuru,Ganugapadu
18,224,74,2015-06-29,,,
19,225,494,2015-05-27,Jaggaiahpeta,Penuganchiprolu,Totacharla
20,226,37,2015-05-30,Nandigama,Veerullapadu,Chatnavaram
21,226,98,2015-03-06,,,
22,226,358,2015-06-25,Mylavaram,Mylavaram,pullur
23,230,244,2015-06-13,Jaggaiahpeta,Jaggaiahpeta,K.Agraharam
24,231,254,2015-05-27,Nandigama,Chanderlapadu,Punnavalli
25,231,425,2015-06-15,Tiruvuru,Vissannapeta,Narasapuram
26,233,481,2015-03-06,,,
27,235,476,2015-05-26,Jaggaiahpeta,Penuganchiprolu,Mundlapadu
28,237,271,2015-05-29,Mylavaram,Reddygudem,K-Naguluru
29,237,451,2015-06-13,Tiruvuru,Gampalagudem,GULLAPUDI
30,238,366,2015-05-27,Mylavaram,Reddygudem,Moddulaparva
31,240,362,2015-05-26,Mylavaram,Mylavaram,Ganapavaram
32,242,353,2015-01-06,,,
33,242,119,2015-09-07,,,
34,244,174,2015-07-15,,,
35,245,365,2015-05-25,Mylavaram,Mylavaram,Pondugala
36,246,444,2015-08-07,,,
37,247,298,2015-06-06,Nandigama,Nandigama,Aithavaram
38,248,280,2015-06-24,Mylavaram,Reddygudem,Reddygudem
39,250,219,2015-07-07,Tiruvuru,Gampalagudem,GAMPALAGUDEM
40,253,287,2015-06-16,Mylavaram,Reddygudem,kudapa
41,255,35,2015-05-19,,,
42,256,378,2015-05-20,Mylavaram,Mylavaram,Pondugala
43,256,266,2015-07-06,,,
44,258,413,2015-11-07,,,
45,262,180,2015-05-24,Mylavaram,G. Konduru,Gangineni palem
46,262,500,2015-05-30,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
47,263,362,2015-06-06,Mylavaram,Mylavaram,Chandrala
48,267,66,2015-05-25,Mylavaram,Ibrahimpatnam,Mulapadu
49,267,317,2015-05-30,Jaggaiahpeta,Nadigama,Domaluru
50,267,172,2015-07-25,,,
51,269,369,2015-03-07,,,
52,270,76,2015-06-16,Mylavaram,Ibrahimpatnam,Kotikalapudi
53,273,441,2015-08-06,,,
54,273,140,2015-07-19,Jaggaiahpeta,Vatsavai,Vatsavai
55,274,95,2015-07-18,Jaggaiahpeta,Vatsavai,Vatsavai
56,275,10,2015-06-27,Nandigama,Kanchikacherla,Gottimukkala
57,275,365,2015-03-07,,,
58,276,286,2015-05-25,Mylavaram,Reddygudem,Narukullapadu
59,277,268,2015-05-28,Mylavaram,Reddygudem,Moddulaparva
60,278,214,2015-03-06,,,
61,279,214,2015-07-15,Nandigama,Kanchikacherla,Kanchikacherla
62,280,451,2015-08-06,,,
63,280,293,2015-06-24,Jaggaiahpeta,Nadigama,Konduru
64,282,345,2015-05-06,,,
65,285,84,2015-06-06,Mylavaram,Ibrahimpatnam,Kethanakonda
66,288,261,2015-05-27,Mylavaram,Reddygudem,Kunaparajparva
67,288,197,2015-05-27,Mylavaram,G. Konduru,Gangineni palem
68,288,401,2015-06-29,Tiruvuru,A.Konduru,A. Konduru
69,290,376,2015-05-21,Mylavaram,Mylavaram,Tholukodu
